id,label,artist,title,year,language,genre_tags,rights_basis,rights_notes,local_relpath,duration_s,lufs_pre,lufs_post,hit_definition_id,pair_id,notes
nonh-el-reggae-de-paz-y-amor,nonhit,Sumo,El Reggae de Paz y Amor,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",nonh-el-reggae-de-paz-y-amor/audio.wav,29.989,-12.16,-19.36,deezer-rank-top2-vs-deepcut,pair-sumo-1,deezer_rank=61135; album=The Collection; status=ok
hit-el-amor-despu-s-del-amor,hit,Fito Paez,El amor después del amor,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",hit-el-amor-despu-s-del-amor/audio.wav,29.989,-14.24,-19.62,deezer-rank-top2-vs-deepcut,pair-fito-paez-0,deezer_rank=477305; album=El Amor Después del Amor; status=ok
nonh-alguna-vez-voy-a-ser-libre,nonhit,Fito Paez,Alguna Vez Voy A Ser Libre,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",nonh-alguna-vez-voy-a-ser-libre/audio.wav,29.989,-12.51,-19.71,deezer-rank-top2-vs-deepcut,pair-fito-paez-0,deezer_rank=21191; album=Lo Mejor De Los Mejores; status=ok
hit-mariposa-tecknicolor,hit,Fito Paez,Mariposa tecknicolor,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",hit-mariposa-tecknicolor/audio.wav,29.989,-10.77,-19.60,deezer-rank-top2-vs-deepcut,pair-fito-paez-1,deezer_rank=465938; album=Circo Beat; status=ok
nonh-track-track,nonhit,Fito Paez,Track Track,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",nonh-track-track/audio.wav,29.989,-11.67,-19.65,deezer-rank-top2-vs-deepcut,pair-fito-paez-1,deezer_rank=39252; album=Lo Mejor De Los Mejores; status=ok
hit-no-voy-en-tren,hit,Charly Garcia,No Voy en Tren,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",hit-no-voy-en-tren/audio.wav,29.989,-8.53,-19.71,deezer-rank-top2-vs-deepcut,pair-charly-garcia-0,"deezer_rank=453333; album=García, el Más Grande; status=ok"
nonh-filosof-a-barata-y-zapatos-de-go,nonhit,Charly Garcia,Filosofía Barata y Zapatos de Goma,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",nonh-filosof-a-barata-y-zapatos-de-go/audio.wav,29.989,-14.12,-19.82,deezer-rank-top2-vs-deepcut,pair-charly-garcia-0,"deezer_rank=70151; album=García, el Más Grande; status=ok"
hit-no-me-dejan-salir,hit,Charly Garcia,No Me Dejan Salir,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",hit-no-me-dejan-salir/audio.wav,29.989,-11.05,-19.77,deezer-rank-top2-vs-deepcut,pair-charly-garcia-1,deezer_rank=432598; album=Clics Modernos; status=ok
nonh-primavera,nonhit,Charly Garcia,Primavera,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",nonh-primavera/audio.wav,29.989,-9.96,-19.80,deezer-rank-top2-vs-deepcut,pair-charly-garcia-1,deezer_rank=73984; album=Random; status=ok
hit-hab-a-una-vez,hit,Indio Solari,Había una Vez...,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",hit-hab-a-una-vez/audio.wav,29.989,-6.84,-19.43,deezer-rank-top2-vs-deepcut,pair-indio-solari-0,"deezer_rank=322615; album=Pajaritos, Bravos Muchachitos; status=ok"
nonh-el-muerto-gim-nez,nonhit,Indio Solari,El Muerto Giménez,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",nonh-el-muerto-gim-nez/audio.wav,29.989,-10.08,-19.95,deezer-rank-top2-vs-deepcut,pair-indio-solari-0,deezer_rank=66077; album=El Muerto Giménez; status=ok
hit-la-oscuridad,hit,Indio Solari,La Oscuridad,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",hit-la-oscuridad/audio.wav,29.989,-8.72,-20.03,deezer-rank-top2-vs-deepcut,pair-indio-solari-1,"deezer_rank=297805; album=El Ruiseñor, el Amor y la Muerte; status=ok"
nonh-falta-tan-poco-para-nada,nonhit,Indio Solari,Falta Tan Poco para Nada,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",nonh-falta-tan-poco-para-nada/audio.wav,29.989,-8.49,-19.43,deezer-rank-top2-vs-deepcut,pair-indio-solari-1,deezer_rank=77638; album=Falta Tan Poco para Nada; status=ok
hit-irresponsables,hit,Babasónicos,Irresponsables,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",hit-irresponsables/audio.wav,29.989,-9.16,-19.25,deezer-rank-top2-vs-deepcut,pair-babas-nicos-0,deezer_rank=481797; album=Infame; status=ok
nonh-puesto,nonhit,Babasónicos,Puesto,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",nonh-puesto/audio.wav,29.989,-10.48,-19.47,deezer-rank-top2-vs-deepcut,pair-babas-nicos-0,deezer_rank=108475; album=Anoche; status=ok
hit-putita,hit,Babasónicos,Putita,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",hit-putita/audio.wav,29.989,-10.88,-19.18,deezer-rank-top2-vs-deepcut,pair-babas-nicos-1,deezer_rank=472622; album=Infame; status=ok
nonh-viva-satana,nonhit,Babasónicos,Viva Satana,,es,argentine-rock,deezer-official-30s-preview,"official Deezer preview asset, fetched 2026-09-14T09:11:40Z",nonh-viva-satana/audio.wav,29.989,-11.61,-19.54,deezer-rank-top2-vs-deepcut,pair-babas-nicos-1,deezer_rank=140155; album=Obras Cumbres; status=ok
