id,label,artist,title,year,language,genre_tags,rights_basis,rights_notes,local_relpath,duration_s,lufs_pre,lufs_post,hit_definition_id,pair_id,notes
hit-fito-paez-el-amor-despues-del-amor-offic,hit,Fito Páez,Fito Paez -  El amor despues del amor (Official video),,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=15289745,hit-fito-paez-el-amor-despues-del-amor-offic/audio.wav,310.404,-11.70,-19.61,user-labeled-v2-folders,pair-fito-0,cohort v2 full tracks; label = user folder assignment
nonh-fito-p-ez-cable-a-tierra-audio,nonhit,Fito Páez,Fito Páez - Cable A Tierra (Audio),,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=1423370,nonh-fito-p-ez-cable-a-tierra-audio/audio.wav,200.811,-19.84,-19.44,user-labeled-v2-folders,pair-fito-0,cohort v2 full tracks; label = user folder assignment
hit-la-bestia-pop,hit,Patricio Rey y sus Redonditos de Ricota,La Bestia Pop,,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=8237365,hit-la-bestia-pop/audio.wav,247.067,-11.58,-20.10,user-labeled-v2-folders,pair-redondos-0,cohort v2 full tracks; label = user folder assignment
nonh-una-piba-con-la-remera-de-greenpeace,nonhit,Patricio Rey,Una Piba Con la Remera de Greenpeace,,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=13198343,nonh-una-piba-con-la-remera-de-greenpeace/audio.wav,220.467,-11.54,-19.59,user-labeled-v2-folders,pair-redondos-0,cohort v2 full tracks; label = user folder assignment
hit-wos-ft-indio-solari-quemar-s,hit,WOS / Indio Solari,WOS ft Indio Solari - QUEMARÁS,,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=12215676,hit-wos-ft-indio-solari-quemar-s/audio.wav,268.109,-6.96,-19.77,user-labeled-v2-folders,pair-indio-0,cohort v2 full tracks; label = user folder assignment
nonh-hab-a-una-vez-indio-solari-letra-pajarit,nonhit,Indio Solari,Había Una Vez - Indio Solari (LETRA) Pajaritos Bravos Muchachitos,,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=545395,nonh-hab-a-una-vez-indio-solari-letra-pajarit/audio.wav,266.019,-6.59,-19.51,user-labeled-v2-folders,pair-indio-0,cohort v2 full tracks; label = user folder assignment
hit-abalorios-talism-n-2004-skay-beilinson,hit,Skay Beilinson,"Abalorios (Talismán, 2004) - Skay Beilinson",,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=60213,hit-abalorios-talism-n-2004-skay-beilinson/audio.wav,238.293,-10.88,-19.37,user-labeled-v2-folders,pair-skay-0,cohort v2 full tracks; label = user folder assignment
nonh-d-nde-est-s-talism-n-2004-skay-beilinson,nonhit,Skay Beilinson,"Dónde estás？ (Talismán, 2004) - Skay Beilinson",,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=64674,nonh-d-nde-est-s-talism-n-2004-skay-beilinson/audio.wav,259.84,-9.80,-19.36,user-labeled-v2-folders,pair-skay-0,cohort v2 full tracks; label = user folder assignment
hit-attaque-77-no-me-arrepiento-de-este-amor,hit,Attaque 77,Attaque 77 - No Me Arrepiento De Este Amor (Official Video),,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=3667325,hit-attaque-77-no-me-arrepiento-de-este-amor/audio.wav,209.045,-6.05,-20.06,user-labeled-v2-folders,pair-attaque-0,cohort v2 full tracks; label = user folder assignment
nonh-chicos-y-perros,nonhit,Attaque 77,Chicos y Perros,,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=357539,nonh-chicos-y-perros/audio.wav,222.293,-11.29,-20.35,user-labeled-v2-folders,pair-attaque-0,cohort v2 full tracks; label = user folder assignment
hit-los-enanitos-verdes-lamento-boliviano,hit,Los Enanitos Verdes,Los Enanitos Verdes - Lamento Boliviano,,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=3016817,hit-los-enanitos-verdes-lamento-boliviano/audio.wav,224.235,-12.83,-19.62,user-labeled-v2-folders,pair-enanitos-0,cohort v2 full tracks; label = user folder assignment
nonh-enanitos-verdes-luz-de-d-a-letra,nonhit,Los Enanitos Verdes,Enanitos Verdes - Luz De Día (Letra),,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=464907,nonh-enanitos-verdes-luz-de-d-a-letra/audio.wav,267.761,-8.28,-19.23,user-labeled-v2-folders,pair-enanitos-0,cohort v2 full tracks; label = user folder assignment
